naziv;iso_3116_alpha_3;glavni_grad;sluzbeni_jezici;valuta;pozivni_broj;top_level_domena;naziv_himne;povrsina;strana_voznje;wikipedia
Palau;PLW;Ngerulmud;engleski,palauski,tobijski,sonsorolezijski;USD;+680;.pw;Belau rekid;459;desna;https://en.wikipedia.org/wiki/Palau
Belgija;BEL;Brussels;nizozemski,francuski,njemački;EUR;+32;.be;La Brabançonne;30689;desna;https://en.wikipedia.org/wiki/Belgium
Mauricijus;MUS;Port Louis;;MUR;+230;.mu;Stella Clavisque Maris Indici;2040;lijeva;https://en.wikipedia.org/wiki/Mauritius
Burundi;BDI;Bujumbura;francuski,kirundi;BIF;+257;.bi;Burundi Bwacu;27834;desna;https://en.wikipedia.org/wiki/Burundi
Honduras;HND;Tegucigalpa;španjolski;HNL;+504;.hn;Himno Nacional de Honduras;112492;desna;https://en.wikipedia.org/wiki/Honduras
Hrvatska;HRV;Zagreb;hrvatski;HRK;+385;.hr;Lijepa naša domovino;56594;desna;https://en.wikipedia.org/wiki/Croatia
Nepal;NPL;Kathmandu;nepalski;NPR;+977;.np;Sayaun Thunga Phulka;147516;lijeva;https://en.wikipedia.org/wiki/Nepal
Novi Zeland;NZL;Wellington;engleski,maorski,novozelandski znakovni;NZD;+64;.nz;God Defend New Zealand;268021;lijeva;https://en.wikipedia.org/wiki/New_Zealand
Gabon;GAB;Libreville;francuski;XAF;+241;.ga;La Concorde;267667;desna;https://en.wikipedia.org/wiki/Gabon
Ekvador;ECU;Quito;španjolski;USD;+593;.ec;Salve, Oh Patria;283561;desna;https://en.wikipedia.org/wiki/Ecuador
